id,error_type,buggy_code,fixed_code,notes
1,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
2,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
3,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
4,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
5,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
6,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
7,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
8,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
9,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
10,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
11,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
12,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
13,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
14,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
15,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
16,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
17,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
18,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
19,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
20,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
21,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
22,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
23,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
24,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
25,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
26,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
27,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
28,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
29,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
30,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
31,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
32,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
33,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
34,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
35,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
36,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
37,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
38,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
39,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
40,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
41,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
42,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
43,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
44,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
45,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
46,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
47,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
48,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
49,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
50,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
51,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
52,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
53,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
54,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
55,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
56,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
57,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
58,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
