language,error_type,buggy_code,fixed_code,line_no
Python,NoError,x = 10,,
Python,NoError,y = 20,,
Python,NoError,name = 'Alice',,
Python,NoError,"message = ""Hello World""",,
Python,NoError,result = 42,,
Python,NoError,pi = 3.14159,,
Python,NoError,is_valid = True,,
Python,NoError,items = None,,
Python,NoError,total = a + b,,
Python,NoError,product = x * y,,
Python,NoError,quotient = x / y,,
Python,NoError,remainder = x % y,,
Python,NoError,power = x ** 2,,
Python,NoError,result = (a + b) * c,,
Python,NoError,average = sum(numbers) / len(numbers),,
Python,NoError,full_name = first + ' ' + last,,
Python,NoError,greeting = f'Hello {name}',,
Python,NoError,text = 'line1\nline2\nline3',,
Python,NoError,upper = text.upper(),,
Python,NoError,length = len(message),,
Python,NoError,"numbers = [1, 2, 3, 4, 5]",,
Python,NoError,"names = ['Alice', 'Bob', 'Charlie']",,
Python,NoError,"mixed = [1, 'two', 3.0, True]",,
Python,NoError,empty = [],,
Python,NoError,"matrix = [[1, 2], [3, 4]]",,
Python,NoError,squares = [x**2 for x in range(10)],,
Python,NoError,"person = {'name': 'Alice', 'age': 30}",,
Python,NoError,"scores = {'math': 95, 'english': 87}",,
Python,NoError,empty_dict = {},,
Python,NoError,"data = dict(a=1, b=2, c=3)",,
Python,NoError,"unique = {1, 2, 3, 4, 5}",,
Python,NoError,"coordinates = (10, 20)",,
Python,NoError,"triple = (1, 2, 3)",,
Python,NoError,def hello():\n    print('Hello'),,
Python,NoError,"def add(a, b):\n    return a + b",,
Python,NoError,def greet(name):\n    return f'Hello {name}',,
Python,NoError,def square(x):\n    return x * x,,
Python,NoError,def is_positive(n):\n    return n > 0,,
Python,NoError,if x > 0:\n    print('positive'),,
Python,NoError,if x > 0:\n    print('pos')\nelse:\n    print('neg'),,
Python,NoError,for i in range(10):\n    print(i),,
Python,NoError,for item in items:\n    process(item),,
Python,NoError,while x < 10:\n    x += 1,,
Python,NoError,"for i, val in enumerate(data):\n    print(i, val)",,
Python,NoError,class Dog:\n    pass,,
Python,NoError,class Cat:\n    def meow(self):\n        print('Meow'),,
Python,NoError,"class Person:\n    def __init__(self, name):\n        self.name = name",,
Python,NoError,import os,,
Python,NoError,import sys,,
Python,NoError,import math,,
Python,NoError,from os import path,,
Python,NoError,"from math import pi, sqrt",,
Python,NoError,import numpy as np,,
Python,NoError,"with open('file.txt', 'r') as f:\n    data = f.read()",,
Python,NoError,try:\n    x = int(input())\nexcept ValueError:\n    x = 0,,
Python,NoError,square = lambda x: x**2,,
Python,NoError,"add = lambda a, b: a + b",,
Python,NoError,"def add(a: int, b: int) -> int:\n    return a + b",,
Python,NoError,"def main():\n    print('Hello, World!')\n\nif __name__ == '__main__':\n    main()",,
